발명의명칭,출원인,출원일자,심사진행상태
"그라비아 오프셋 방식을 이용한 LED용 도광판 제조방식 및 이의 제조방법(LIGHT GUIDE PLATE FOR LED USING GRAVURE-OFFSET METHOD, AND THE PROCESS OF MANUFACTURING THE SAME)",주식회사 엘지화학(서울특별시 영등포구...),2010.07.08,등록결정(재심사후)
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.07.09,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.07.19,
와이어 파손 방지용 LED 패키지 구조(LED Package Structure For Preventing Wire-Break),엘지이노텍 주식회사(서울특별시 강서구...),2009.06.02,등록결정(일반)
"LED 패키지, 백라이트 유닛 및 액정 표시 장치(LED Packages, Backlight Units and Liquid Crystal Display Devices)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.07.29,등록결정(일반)
LED 백라이트를 이용한 액정디스플레이 장치 및 화면분할 구동 방법(Liquid Crystal Display using LED backlight and method for local dimming thereof),엘지전자 주식회사(서울특별시 영등포구...),2009.06.16,등록결정(일반)
LED 필름(LED FILM),엘지전자 주식회사(서울특별시 영등포구...),2018.09.13,
"LED 조명 장치, 그리고 그의 조광 제어 방법(LED LIGHTING DEVICE, AND LIGHT CONTROL METHOD OF THE SAME)",엘지이노텍 주식회사(서울특별시 강서구...),2017.07.21,등록결정(일반)
LED 드라이버(LED Driver),엘지이노텍 주식회사(서울특별시 강서구...),2009.05.29,등록결정(일반)
LED 드라이버(LED Driver),엘지이노텍 주식회사(서울특별시 강서구...),2009.06.25,등록결정(일반)
"LED 어레이 및 이의 제조방법, LED 백라이트 유닛을 구비하는 액정표시장치모듈(LED ARRAY AND FABRICATING METHOD OF THE SAME, LCD MOUDLE INCLUDING LED BACKLIGHT UNIT)",엘지디스플레이 주식회사(서울특별시 영등포구...),2011.08.04,등록결정(일반)
세탁장치 및 세탁장치의 LED 제어 방법(Washing machine and LED controlling method thereof),엘지전자 주식회사(서울특별시 영등포구...),2009.02.18,취하(심사미청구)
LED 스트링 구동 장치(LED string driving apparatus),엘지이노텍 주식회사(서울특별시 강서구...),2010.05.14,등록결정(일반)
