발명의명칭,출원인,출원일자,심사진행상태
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.10.31,거절결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.10.31,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.06.29,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.05.17,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.05.17,등록결정(일반)
상변환 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,취하(심사미청구)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2006.04.14,등록결정(일반)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,취하(심사미청구)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,등록결정(일반)
상변환 기억 소자 및 그의 제조방법(Phase change RAM device and method of manufacturing thesame),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,등록결정(일반)
상변환 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.12.28,등록결정(일반)
